a,b,c,d
0.62,24.1,181,1
0.62,24.2,181,1
0.62,24.3,181,1
0.62,24.4,181,1
0.62,24.5,181,1
0.62,24.6,181,1
0.62,24.7,181,1
0.62,24.8,181,1
0.62,24.9,181,1
0.62,25,181,1
0.62,25.1,181,1
0.62,25.2,181,1
0.62,25.3,181,1
0.62,25.4,181,1
0.62,25.5,181,1
0.62,25.6,181,1
0.62,25.7,181,1
0.62,25.8,181,1
0.62,25.9,181,1
0.62,26,181,1
0.62,26.1,181,1
0.62,26.2,181,1
0.62,26.3,181,1
0.62,26.4,181,1
0.62,26.5,181,1
0.62,26.6,181,1
0.62,26.7,181,1
0.62,26.8,181,1
0.62,26.9,181,1
0.62,27,181,1
0.62,27.1,181,1
0.62,27.2,181,1
0.62,27.3,181,1
0.62,27.4,181,1
0.62,27.5,181,1
0.62,27.6,181,1
0.62,27.7,181,1
0.62,27.8,181,1
0.62,27.9,181,1
0.62,28,181,1
0.62,28.1,181,1
0.62,28.2,181,1
0.62,28.3,181,1
0.62,28.4,181,1
0.62,28.5,181,1
0.62,28.6,181,1
0.62,28.7,181,1
0.62,28.8,181,1
0.62,28.9,181,1
0.62,29,181,1
0.62,29.1,181,1
0.62,29.2,181,1
0.62,29.3,181,1
0.62,29.4,181,1
0.62,29.5,181,1
0.62,29.6,181,1
0.62,29.7,181,1
0.62,29.8,181,1
0.62,29.9,181,1
0.62,30,181,1
0.62,30.1,181,1
0.62,30.2,181,1
0.62,30.3,181,1
0.62,30.4,181,1
0.62,30.5,181,1
0.62,30.6,181,1
0.62,30.7,181,1
0.62,30.8,181,1
0.62,30.9,181,1
0.62,31,181,1
0.62,31.1,181,1
0.62,31.2,181,1
0.62,31.3,181,1
0.62,31.4,181,1
0.62,31.5,181,1
0.62,31.6,181,1
0.62,31.7,181,1
0.62,31.8,181,1
0.62,31.9,181,1
0.62,32,181,1
0.62,32.1,181,1
0.62,32.2,181,1
0.62,32.3,181,1
0.62,32.4,181,1
0.62,32.5,181,1
0.62,32.6,181,1
0.62,32.7,181,1
0.62,32.8,181,1
0.62,32.9,181,1
0.62,33,181,1
0.62,33.1,181,1
0.62,33.2,181,1
0.62,33.3,181,1
0.62,33.4,181,1
0.62,33.5,181,1
0.62,33.6,181,1
0.62,33.7,181,1
0.62,33.8,181,1
0.62,33.9,181,1
0.62,34,181,1
0.62,34.1,181,1
0.62,34.2,181,1
0.62,34.3,181,1
0.62,34.4,181,1
0.62,34.5,181,1
0.62,34.6,181,1
0.62,34.7,181,1
0.62,34.8,181,1
0.62,34.9,181,1
0.62,35,181,1
0.62,35.1,181,1
0.62,35.2,181,1
0.62,35.3,181,1
0.62,35.4,181,1
0.62,35.5,181,1
0.62,35.6,181,1
0.62,35.7,181,1
0.62,35.8,181,1
0.62,35.9,181,1
0.62,36,181,1
0.62,36.1,181,1
0.62,36.2,181,1
0.62,36.3,181,1
0.62,36.4,181,1
0.62,36.5,181,1
0.62,36.6,181,1
0.62,36.7,181,1
0.62,36.8,181,1
0.62,36.9,181,1
0.62,37,181,1
0.62,37.1,181,1
0.62,37.2,181,1
0.62,37.3,181,1
0.62,37.4,181,1
0.62,37.5,181,1
0.62,37.6,181,1
0.62,37.7,181,1
0.62,37.8,181,1
0.62,37.9,181,1
0.62,38,181,1
0.62,38.1,181,1
0.62,38.2,181,1
0.62,38.3,181,1
0.62,38.4,181,1
0.62,38.5,181,1
0.62,38.6,181,1
0.62,38.7,181,1
0.62,38.8,181,1
0.62,38.9,181,1
0.62,39,181,1
0.62,39.1,181,1
0.62,39.2,181,1
0.62,39.3,181,1
0.62,39.4,181,1
0.62,39.5,181,1
0.62,39.6,181,1
0.62,39.7,181,1
0.62,39.8,181,1
0.62,39.9,181,1
0.62,40,181,1
0.62,40.1,181,1
0.62,40.2,181,1
0.62,40.3,181,1
0.62,40.4,181,1
0.62,40.5,181,1
0.62,40.6,181,1
0.62,40.7,181,1
0.62,40.8,181,1
0.62,40.9,181,1
0.62,41,181,1
0.62,41.1,181,1
0.62,41.2,181,1
0.62,41.3,181,1
0.62,41.4,181,1
0.62,41.5,181,1
0.62,41.6,181,1
0.62,41.7,181,1
0.62,41.8,181,1
0.62,41.9,181,1
0.62,42,181,1
0.62,42.1,181,1
0.62,42.2,181,1
0.62,42.3,181,1
0.62,42.4,181,1
0.62,42.5,181,1
0.62,42.6,181,1
0.62,42.7,181,1
0.62,42.8,181,1
0.62,42.9,181,1
0.62,43,181,1
0.62,43.1,181,1
0.62,43.2,181,1
0.62,43.3,181,1
0.62,43.4,181,1
0.62,43.5,181,1
0.62,43.6,181,1
0.62,43.7,181,1
0.62,43.8,181,1
0.62,43.9,181,1
0.62,44,181,1
0.62,44.1,181,1
0.62,44.2,181,1
0.62,44.3,181,1
0.62,44.4,181,1
0.62,44.5,181,1
0.62,44.6,181,1
0.62,44.7,181,1
0.62,44.8,181,1
0.62,44.9,181,1
0.62,45,181,1
0.62,45.1,181,1
0.62,45.2,181,1
0.62,45.3,181,1
0.62,45.4,181,1
0.62,45.5,181,1
0.62,45.6,181,1
0.62,45.7,181,1
0.62,45.8,181,1
0.62,45.9,181,1
0.62,46,181,1
0.62,46.1,181,1
0.62,46.2,181,1
0.62,46.3,181,1
0.62,46.4,181,1
0.62,46.5,181,1
0.62,46.6,181,1
0.62,46.7,181,1
0.62,46.8,181,1
0.62,46.9,181,1
0.62,47,181,1
0.62,47.1,181,1
0.62,47.2,181,1
0.62,47.3,181,1
0.62,47.4,181,1
0.62,47.5,181,1
0.62,47.6,181,1
0.62,47.7,181,1
0.62,47.8,181,1
0.62,47.9,181,1
0.62,48,181,1
0.62,48.1,181,1
0.62,48.2,181,1
0.62,48.3,181,1
0.62,48.4,181,1
0.62,48.5,181,1
0.62,48.6,181,1
0.62,48.7,181,1
0.62,48.8,181,1
0.62,48.9,181,1
0.62,49,181,1
0.62,49.1,181,1
0.62,49.2,181,1
0.62,49.3,181,1
0.62,49.4,181,1
0.62,49.5,181,1
0.62,49.6,181,1
0.62,49.7,181,1
0.62,49.8,181,1
0.62,49.9,181,1
0.62,50,181,1
0.62,50.1,181,1
0.62,50.2,181,1
0.62,50.3,181,1
0.62,50.4,181,1
0.62,50.5,181,1
0.62,50.6,181,1
0.62,50.7,181,1
0.62,50.8,181,1
0.62,50.9,181,1
0.62,51,181,1
0.62,51.1,181,1
0.62,51.2,181,1
0.62,51.3,181,1
0.62,51.4,181,1
0.62,51.5,181,1
0.62,51.6,181,1
0.62,51.7,181,1
0.62,51.8,181,1
0.62,51.9,181,1
0.62,52,181,1
0.62,52.1,181,1
0.62,52.2,181,1
0.62,52.3,181,1
0.62,52.4,181,1
0.62,52.5,181,1
0.62,52.6,181,1
0.62,52.7,181,1
0.62,52.8,181,1
0.62,52.9,181,1
0.62,53,181,1
0.62,53.1,181,1
0.62,53.2,181,1
0.62,53.3,181,1
0.62,53.4,181,1
0.62,53.5,181,1
0.62,53.6,181,1
0.62,53.7,181,1
0.62,53.8,181,1
0.62,53.9,181,1
0.62,54,181,1
0.62,54.1,181,1
0.62,54.2,181,1
0.62,54.3,181,1
0.62,54.4,181,1
0.62,54.5,181,1
0.62,54.6,181,1
0.62,54.7,181,1
0.62,54.8,181,1
0.62,54.9,181,1
0.62,55,181,1
0.62,55.1,181,1
0.62,55.2,181,1
0.62,55.3,181,1
0.62,55.4,181,1
0.62,55.5,181,1
0.62,55.6,181,1
0.62,55.7,181,1
0.62,55.8,181,1
0.62,55.9,181,1
0.62,56,181,1
0.62,56.1,181,1
0.62,56.2,181,1
0.62,56.3,181,1
0.62,56.4,181,1
0.62,56.5,181,1
0.62,56.6,181,1
0.62,56.7,181,1
0.62,56.8,181,1
0.62,56.9,181,1
0.62,57,181,1
0.62,57.1,181,1
0.62,57.2,181,1
0.62,57.3,181,1
0.62,57.4,181,1
0.62,57.5,181,1
0.62,57.6,181,1
0.62,57.7,181,1
0.62,57.8,181,1
0.62,57.9,181,1
0.62,58,181,1
0.62,58.1,181,1
0.62,58.2,181,1
0.62,58.3,181,1
0.62,58.4,181,1
0.62,58.5,181,1
0.62,58.6,181,1
0.62,58.7,181,1
0.62,58.8,181,1
0.62,58.9,181,1
0.62,59,181,1
0.62,59.1,181,1
0.62,59.2,181,1
0.62,59.3,181,1
0.62,59.4,181,1
0.62,59.5,181,1
0.62,59.6,181,1
0.62,59.7,181,1
0.62,59.8,181,1
0.62,59.9,181,1
0.62,60,162,0.895027624
0.62,60.1,181,1
0.62,60.2,181,1
0.62,60.3,181,1
0.62,60.4,181,1
0.62,60.5,181,1
0.62,60.6,181,1
0.62,60.7,181,1
0.62,60.8,181,1
0.62,60.9,181,1
0.62,61,181,1
0.62,61.1,181,1
0.62,61.2,181,1
0.62,61.3,181,1
0.62,61.4,181,1
0.62,61.5,181,1
0.62,61.6,181,1
0.62,61.7,181,1
0.62,61.8,181,1
0.62,61.9,181,1
0.62,62,181,1
0.62,62.1,181,1
0.62,62.2,181,1
0.62,62.3,181,1
0.62,62.4,181,1
0.62,62.5,181,1
0.62,62.6,181,1
0.62,62.7,181,1
0.62,62.8,181,1
0.62,62.9,181,1
0.62,63,181,1
0.62,63.1,181,1
0.62,63.2,181,1
0.62,63.3,181,1
0.62,63.4,181,1
0.62,63.5,181,1
0.62,63.6,181,1
0.62,63.7,181,1
0.62,63.8,181,1
0.62,63.9,181,1
0.62,64,181,1
0.62,64.1,181,1
0.62,64.2,181,1
0.62,64.3,181,1
0.62,64.4,181,1
0.62,64.5,181,1
0.62,64.6,181,1
0.62,64.7,181,1
0.62,64.8,181,1
0.62,64.9,181,1
0.62,65,181,1
0.62,65.1,181,1
0.62,65.2,181,1
0.62,65.3,181,1
0.62,65.4,181,1
0.62,65.5,181,1
0.62,65.6,181,1
0.62,65.7,181,1
0.62,65.8,181,1
0.62,65.9,181,1
0.62,66,181,1
0.62,66.1,181,1
0.62,66.2,181,1
0.62,66.3,181,1
0.62,66.4,181,1
0.62,66.5,181,1
0.62,66.6,181,1
0.62,66.7,181,1
0.62,66.8,181,1
0.62,66.9,181,1
0.62,67,181,1
0.62,67.1,181,1
0.62,67.2,181,1
0.62,67.3,181,1
0.62,67.4,181,1
0.62,67.5,181,1
0.62,67.6,181,1
0.62,67.7,181,1
0.62,67.8,181,1
0.62,67.9,181,1
0.62,68,181,1
0.62,68.1,181,1
0.62,68.2,181,1
0.62,68.3,181,1
0.62,68.4,181,1
0.62,68.5,181,1
0.62,68.6,181,1
0.62,68.7,181,1
0.62,68.8,181,1
0.62,68.9,181,1
0.62,69,181,1
0.62,69.1,181,1
0.62,69.2,181,1
0.62,69.3,181,1
0.62,69.4,181,1
0.62,69.5,181,1
0.62,69.6,181,1
0.62,69.7,181,1
0.62,69.8,181,1
0.62,69.9,181,1
0.62,70,181,1
0.62,70.1,181,1
0.62,70.2,181,1
0.62,70.3,181,1
0.62,70.4,181,1
0.62,70.5,181,1
0.62,70.6,181,1
0.62,70.7,181,1
0.62,70.8,181,1
0.62,70.9,181,1
0.62,71,181,1
0.62,71.1,181,1
0.62,71.2,181,1
0.62,71.3,181,1
0.62,71.4,181,1
0.62,71.5,181,1
0.62,71.6,181,1
0.62,71.7,181,1
0.62,71.8,181,1
0.62,71.9,181,1
0.62,72,181,1
0.62,72.1,181,1
0.62,72.2,181,1
0.62,72.3,181,1
0.62,72.4,181,1
0.62,72.5,181,1
0.62,72.6,181,1
0.62,72.7,181,1
0.62,72.8,181,1
0.62,72.9,181,1
0.62,73,181,1
0.62,73.1,181,1
0.62,73.2,181,1
0.62,73.3,181,1
0.62,73.4,181,1
0.62,73.5,181,1
0.62,73.6,181,1
0.62,73.7,181,1
0.62,73.8,181,1
0.62,73.9,181,1
0.62,74,181,1
0.62,74.1,181,1
0.62,74.2,181,1
0.62,74.3,181,1
0.62,74.4,181,1
0.62,74.5,181,1
0.62,74.6,181,1
0.62,74.7,181,1
0.62,74.8,181,1
0.62,74.9,181,1
0.62,75,181,1
0.62,75.1,181,1
0.62,75.2,181,1
0.62,75.3,181,1
0.62,75.4,181,1
0.62,75.5,179,0.988950276
0.62,75.6,179,0.988950276
0.62,75.7,179,0.988950276
0.62,75.8,179,0.988950276
0.62,75.9,179,0.988950276
0.62,76,179,0.988950276
0.62,76.1,178,0.983425414
0.62,76.2,178,0.983425414
0.62,76.3,178,0.983425414
0.62,76.4,178,0.983425414
0.62,76.5,178,0.983425414
0.62,76.6,178,0.983425414
0.62,76.7,177,0.977900552
0.62,76.8,177,0.977900552
0.62,76.9,177,0.977900552
0.62,77,177,0.977900552
0.62,77.1,177,0.977900552
0.62,77.2,177,0.977900552
0.62,77.3,177,0.977900552
0.62,77.4,177,0.977900552
0.62,77.5,176,0.972375691
0.62,77.6,176,0.972375691
0.62,77.7,176,0.972375691
0.62,77.8,176,0.972375691
0.62,77.9,176,0.972375691
0.62,78,175,0.966850829
0.62,78.1,175,0.966850829
0.62,78.2,175,0.966850829
0.62,78.3,175,0.966850829
0.62,78.4,175,0.966850829
0.62,78.5,175,0.966850829
0.62,78.6,175,0.966850829
0.62,78.7,174,0.961325967
0.62,78.8,174,0.961325967
0.62,78.9,174,0.961325967
0.62,79,174,0.961325967
0.62,79.1,174,0.961325967
0.62,79.2,174,0.961325967
0.62,79.3,174,0.961325967
0.62,79.4,173,0.955801105
0.62,79.5,173,0.955801105
0.62,79.6,173,0.955801105
0.62,79.7,173,0.955801105
0.62,79.8,173,0.955801105
0.62,79.9,173,0.955801105
0.62,80,173,0.955801105
0.62,80.1,172,0.950276243
0.62,80.2,172,0.950276243
0.62,80.3,172,0.950276243
0.62,80.4,172,0.950276243
0.62,80.5,172,0.950276243
0.62,80.6,172,0.950276243
0.62,80.7,172,0.950276243
0.62,80.8,171,0.944751381
0.62,80.9,171,0.944751381
0.62,81,171,0.944751381
0.62,81.1,171,0.944751381
0.62,81.2,171,0.944751381
0.62,81.3,171,0.944751381
0.62,81.4,170,0.939226519
0.62,81.5,170,0.939226519
0.62,81.6,170,0.939226519
0.62,81.7,170,0.939226519
0.62,81.8,170,0.939226519
0.62,81.9,170,0.939226519
0.62,82,170,0.939226519
0.62,82.1,169,0.933701657
0.62,82.2,170,0.939226519
0.62,82.3,169,0.933701657
0.62,82.4,169,0.933701657
0.62,82.5,169,0.933701657
0.62,82.6,169,0.933701657
0.62,82.7,168,0.928176796
0.62,82.8,168,0.928176796
0.62,82.9,168,0.928176796
0.62,83,168,0.928176796
0.62,83.1,168,0.928176796
0.62,83.2,168,0.928176796
0.62,83.3,168,0.928176796
0.62,83.4,168,0.928176796
0.62,83.5,167,0.922651934
0.62,83.6,167,0.922651934
0.62,83.7,167,0.922651934
0.62,83.8,167,0.922651934
0.62,83.9,167,0.922651934
0.62,84,167,0.922651934
0.62,84.1,167,0.922651934
0.62,84.2,167,0.922651934
0.62,84.3,166,0.917127072
0.62,84.4,166,0.917127072
0.62,84.5,166,0.917127072
0.62,84.6,166,0.917127072
0.62,84.7,166,0.917127072
0.62,84.8,166,0.917127072
0.62,84.9,165,0.91160221
0.62,85,166,0.917127072
0.62,85.1,165,0.91160221
0.62,85.2,165,0.91160221
0.62,85.3,165,0.91160221
0.62,85.4,165,0.91160221
0.62,85.5,165,0.91160221
0.62,85.6,164,0.906077348
0.62,85.7,164,0.906077348
0.62,85.8,164,0.906077348
0.62,85.9,164,0.906077348
0.62,86,164,0.906077348
0.62,86.1,164,0.906077348
0.62,86.2,163,0.900552486
0.62,86.3,163,0.900552486
0.62,86.4,163,0.900552486
0.62,86.5,163,0.900552486
0.62,86.6,163,0.900552486
0.62,86.7,163,0.900552486
0.62,86.8,163,0.900552486
0.62,86.9,163,0.900552486
0.62,87,162,0.895027624
0.62,87.1,162,0.895027624
0.62,87.2,162,0.895027624
0.62,87.3,162,0.895027624
0.62,87.4,162,0.895027624
0.62,87.5,162,0.895027624
0.62,87.6,161,0.889502762
0.62,87.7,161,0.889502762
0.62,87.8,161,0.889502762
0.62,87.9,161,0.889502762
0.62,88,161,0.889502762
0.62,88.1,160,0.883977901
0.62,88.2,161,0.889502762
0.62,88.3,161,0.889502762
0.62,88.4,160,0.883977901
0.62,88.5,160,0.883977901
0.62,88.6,160,0.883977901
0.62,88.7,160,0.883977901
0.62,88.8,160,0.883977901
0.62,88.9,160,0.883977901
0.62,89,159,0.878453039
0.62,89.1,159,0.878453039
0.62,89.2,159,0.878453039
0.62,89.3,159,0.878453039
0.62,89.4,159,0.878453039
0.62,89.5,159,0.878453039
0.62,89.6,159,0.878453039
0.62,89.7,159,0.878453039
0.62,89.8,158,0.872928177
0.62,89.9,158,0.872928177
0.62,90,159,0.878453039
0.62,90.1,158,0.872928177
0.62,90.2,157,0.867403315
0.62,90.3,158,0.872928177
0.62,90.4,157,0.867403315
0.62,90.5,157,0.867403315
0.62,90.6,157,0.867403315
0.62,90.7,157,0.867403315
0.62,90.8,157,0.867403315
0.62,90.9,157,0.867403315
0.62,91,157,0.867403315
0.62,91.1,156,0.861878453
0.62,91.2,157,0.867403315
0.62,91.3,156,0.861878453
0.62,91.4,156,0.861878453
0.62,91.5,156,0.861878453
0.62,91.6,156,0.861878453
0.62,91.7,155,0.856353591
0.62,91.8,155,0.856353591
0.62,91.9,155,0.856353591
0.62,92,156,0.861878453
0.62,92.1,155,0.856353591
0.62,92.2,155,0.856353591
0.62,92.3,155,0.856353591
0.62,92.4,154,0.850828729
0.62,92.5,155,0.856353591
0.62,92.6,154,0.850828729
0.62,92.7,154,0.850828729
0.62,92.8,154,0.850828729
0.62,92.9,154,0.850828729
0.62,93,154,0.850828729
0.62,93.1,153,0.845303867
0.62,93.2,153,0.845303867
0.62,93.3,153,0.845303867
0.62,93.4,153,0.845303867
0.62,93.5,153,0.845303867
0.62,93.6,153,0.845303867
0.62,93.7,153,0.845303867
0.62,93.8,152,0.839779006
0.62,93.9,152,0.839779006
0.62,94,152,0.839779006
0.62,94.1,152,0.839779006
0.62,94.2,152,0.839779006
0.62,94.3,152,0.839779006
0.62,94.4,152,0.839779006
0.62,94.5,151,0.834254144
0.62,94.6,151,0.834254144
0.62,94.7,151,0.834254144
0.62,94.8,151,0.834254144
0.62,94.9,151,0.834254144
0.62,95,151,0.834254144
0.62,95.1,151,0.834254144
0.62,95.2,151,0.834254144
0.62,95.3,151,0.834254144
0.62,95.4,151,0.834254144
0.62,95.5,151,0.834254144
0.62,95.6,151,0.834254144
0.62,95.7,151,0.834254144
0.62,95.8,150,0.828729282
0.62,95.9,150,0.828729282
0.62,96,150,0.828729282
0.62,96.1,149,0.82320442
0.62,96.2,150,0.828729282
0.62,96.3,149,0.82320442
0.62,96.4,149,0.82320442
0.62,96.5,149,0.82320442
0.62,96.6,150,0.828729282
0.62,96.7,148,0.817679558
0.62,96.8,149,0.82320442
0.62,96.9,148,0.817679558
0.62,97,149,0.82320442
0.62,97.1,149,0.82320442
0.62,97.2,148,0.817679558
0.62,97.3,149,0.82320442
0.62,97.4,148,0.817679558
0.62,97.5,148,0.817679558
0.62,97.6,148,0.817679558
0.62,97.7,149,0.82320442
0.62,97.8,147,0.812154696
0.62,97.9,147,0.812154696
0.62,98,147,0.812154696
0.62,98.1,147,0.812154696
0.62,98.2,147,0.812154696
0.62,98.3,147,0.812154696
0.62,98.4,147,0.812154696
0.62,98.5,147,0.812154696
0.62,98.6,146,0.806629834
0.62,98.7,146,0.806629834
0.62,98.8,146,0.806629834
0.62,98.9,146,0.806629834
0.62,99,146,0.806629834
0.62,99.1,145,0.801104972
0.62,99.2,146,0.806629834
0.62,99.3,146,0.806629834
0.62,99.4,145,0.801104972
0.62,99.5,145,0.801104972
0.62,99.6,145,0.801104972
0.62,99.7,144,0.79558011
0.62,99.8,145,0.801104972
0.62,99.9,145,0.801104972
0.62,100,145,0.801104972
0.62,100.1,144,0.79558011
0.62,100.2,144,0.79558011
0.62,100.3,144,0.79558011
0.62,100.4,144,0.79558011
0.62,100.5,144,0.79558011
0.62,100.6,144,0.79558011
0.62,100.7,144,0.79558011
0.62,100.8,143,0.790055249
0.62,100.9,143,0.790055249
0.62,101,144,0.79558011
0.62,101.1,143,0.790055249
0.62,101.2,143,0.790055249
0.62,101.3,143,0.790055249
0.62,101.4,142,0.784530387
0.62,101.5,142,0.784530387
0.62,101.6,143,0.790055249
0.62,101.7,142,0.784530387
0.62,101.8,142,0.784530387
0.62,101.9,142,0.784530387
0.62,102,142,0.784530387
0.62,102.1,142,0.784530387
0.62,102.2,142,0.784530387
0.62,102.3,141,0.779005525
0.62,102.4,142,0.784530387
0.62,102.5,141,0.779005525
0.62,102.6,141,0.779005525
0.62,102.7,140,0.773480663
0.62,102.8,141,0.779005525
0.62,102.9,142,0.784530387
0.62,103,140,0.773480663
0.62,103.1,142,0.784530387
0.62,103.2,140,0.773480663
0.62,103.3,140,0.773480663
0.62,103.4,140,0.773480663
0.62,103.5,140,0.773480663
0.62,103.6,140,0.773480663
0.62,103.7,140,0.773480663
0.62,103.8,140,0.773480663
0.62,103.9,140,0.773480663
0.62,104,139,0.767955801
0.62,104.1,139,0.767955801
0.62,104.2,139,0.767955801
0.62,104.3,139,0.767955801
0.62,104.4,138,0.762430939
0.62,104.5,139,0.767955801
0.62,104.6,139,0.767955801
0.62,104.7,139,0.767955801
0.62,104.8,140,0.773480663
0.62,104.9,139,0.767955801
0.62,105,139,0.767955801
0.62,105.1,139,0.767955801
0.62,105.2,138,0.762430939
0.62,105.3,138,0.762430939
0.62,105.4,138,0.762430939
0.62,105.5,138,0.762430939
0.62,105.6,138,0.762430939
0.62,105.7,138,0.762430939
0.62,105.8,139,0.767955801
0.62,105.9,139,0.767955801
0.62,106,137,0.756906077
0.62,106.1,137,0.756906077
0.62,106.2,137,0.756906077
0.62,106.3,137,0.756906077
0.62,106.4,138,0.762430939
0.62,106.5,137,0.756906077
0.62,106.6,137,0.756906077
0.62,106.7,136,0.751381215
0.62,106.8,137,0.756906077
0.62,106.9,136,0.751381215
0.62,107,136,0.751381215
0.62,107.1,136,0.751381215
0.62,107.2,136,0.751381215
0.62,107.3,135,0.745856354
0.62,107.4,135,0.745856354
0.62,107.5,135,0.745856354
