a,b,c,d
0.62,9.2,0,0
0.62,9.3,0,0
0.62,9.4,0,0
0.62,9.5,0,0
0.62,9.6,0,0
0.62,9.7,0,0
0.62,9.8,0,0
0.62,9.9,0,0
0.62,10,0,0
0.62,10.1,0,0
0.62,10.2,0,0
0.62,10.3,0,0
0.62,10.4,0,0
0.62,10.5,0,0
0.62,10.6,0,0
0.62,10.7,0,0
0.62,10.8,0,0
0.62,10.9,0,0
0.62,11,0,0
0.62,11.1,0,0
0.62,11.2,0,0
0.62,11.3,0,0
0.62,11.4,0,0
0.62,11.5,0,0
0.62,11.6,0,0
0.62,11.7,0,0
0.62,11.8,0,0
0.62,11.9,0,0
0.62,12,0,0
0.62,12.1,0,0
0.62,12.2,0,0
0.62,12.3,0,0
0.62,12.4,0,0
0.62,12.5,0,0
0.62,12.6,0,0
0.62,12.7,0,0
0.62,12.8,0,0
0.62,12.9,0,0
0.62,13,0,0
0.62,13.1,0,0
0.62,13.2,0,0
0.62,13.3,0,0
0.62,13.4,0,0
0.62,13.5,0,0
0.62,13.6,0,0
0.62,13.7,0,0
0.62,13.8,0,0
0.62,13.9,0,0
0.62,14,0,0
0.62,14.1,0,0
0.62,14.2,0,0
0.62,14.3,0,0
0.62,14.4,0,0
0.62,14.5,0,0
0.62,14.6,0,0
0.62,14.7,0,0
0.62,14.8,0,0
0.62,14.9,0,0
0.62,15,0,0
0.62,15.1,0,0
0.62,15.2,0,0
0.62,15.3,0,0
0.62,15.4,0,0
0.62,15.5,0,0
0.62,15.6,0,0
0.62,15.7,0,0
0.62,15.8,0,0
0.62,15.9,0,0
0.62,16,0,0
0.62,16.1,0,0
0.62,16.2,0,0
0.62,16.3,0,0
0.62,16.4,0,0
0.62,16.5,0,0
0.62,16.6,0,0
0.62,16.7,0,0
0.62,16.8,0,0
0.62,16.9,0,0
0.62,17,0,0
0.62,17.1,0,0
0.62,17.2,0,0
0.62,17.3,0,0
0.62,17.4,0,0
0.62,17.5,0,0
0.62,17.6,0,0
0.62,17.7,0,0
0.62,17.8,0,0
0.62,17.9,0,0
0.62,18,0,0
0.62,18.1,0,0
0.62,18.2,0,0
0.62,18.3,0,0
0.62,18.4,0,0
0.62,18.5,0,0
0.62,18.6,0,0
0.62,18.7,0,0
0.62,18.8,0,0
0.62,18.9,0,0
0.62,19,0,0
0.62,19.1,0,0
0.62,19.2,0,0
0.62,19.3,0,0
0.62,19.4,0,0
0.62,19.5,0,0
0.62,19.6,0,0
0.62,19.7,0,0
0.62,19.8,0,0
0.62,19.9,0,0
0.62,20,0,0
0.62,20.1,0,0
0.62,20.2,0,0
0.62,20.3,0,0
0.62,20.4,0,0
0.62,20.5,0,0
0.62,20.6,0,0
0.62,20.7,0,0
0.62,20.8,0,0
0.62,20.9,0,0
0.62,21,0,0
0.62,21.1,0,0
0.62,21.2,0,0
0.62,21.3,0,0
0.62,21.4,0,0
0.62,21.5,0,0
0.62,21.6,0,0
0.62,21.7,0,0
0.62,21.8,0,0
0.62,21.9,0,0
0.62,22,0,0
0.62,22.1,0,0
0.62,22.2,0,0
0.62,22.3,0,0
0.62,22.4,0,0
0.62,22.5,0,0
0.62,22.6,0,0
0.62,22.7,0,0
0.62,22.8,0,0
0.62,22.9,0,0
0.62,23,0,0
0.62,23.1,0,0
0.62,23.2,0,0
0.62,23.3,0,0
0.62,23.4,0,0
0.62,23.5,0,0
0.62,23.6,0,0
0.62,23.7,0,0
0.62,23.8,0,0
0.62,23.9,0,0
0.62,24,0,0
0.62,24.1,0,0
0.62,24.2,0,0
0.62,24.3,0,0
0.62,24.4,0,0
0.62,24.5,0,0
0.62,24.6,0,0
0.62,24.7,0,0
0.62,24.8,0,0
0.62,24.9,0,0
0.62,25,0,0
0.62,25.1,0,0
0.62,25.2,0,0
0.62,25.3,0,0
0.62,25.4,0,0
0.62,25.5,0,0
0.62,25.6,0,0
0.62,25.7,0,0
0.62,25.8,0,0
0.62,25.9,0,0
0.62,26,0,0
0.62,26.1,0,0
0.62,26.2,0,0
0.62,26.3,0,0
0.62,26.4,0,0
0.62,26.5,0,0
0.62,26.6,0,0
0.62,26.7,0,0
0.62,26.8,0,0
0.62,26.9,0,0
0.62,27,0,0
0.62,27.1,0,0
0.62,27.2,0,0
0.62,27.3,0,0
0.62,27.4,0,0
0.62,27.5,0,0
0.62,27.6,0,0
0.62,27.7,0,0
0.62,27.8,0,0
0.62,27.9,0,0
0.62,28,0,0
0.62,28.1,0,0
0.62,28.2,0,0
0.62,28.3,0,0
0.62,28.4,0,0
0.62,28.5,0,0
0.62,28.6,0,0
0.62,28.7,0,0
0.62,28.8,0,0
0.62,28.9,0,0
0.62,29,0,0
0.62,29.1,0,0
0.62,29.2,0,0
0.62,29.3,0,0
0.62,29.4,0,0
0.62,29.5,0,0
0.62,29.6,0,0
0.62,29.7,0,0
0.62,29.8,0,0
0.62,29.9,0,0
0.62,30,0,0
0.62,30.1,0,0
0.62,30.2,0,0
0.62,30.3,0,0
0.62,30.4,0,0
0.62,30.5,0,0
0.62,30.6,0,0
0.62,30.7,0,0
0.62,30.8,0,0
0.62,30.9,0,0
0.62,31,0,0
0.62,31.1,0,0
0.62,31.2,0,0
0.62,31.3,0,0
0.62,31.4,0,0
0.62,31.5,0,0
0.62,31.6,0,0
0.62,31.7,0,0
0.62,31.8,0,0
0.62,31.9,0,0
0.62,32,0,0
0.62,32.1,0,0
0.62,32.2,0,0
0.62,32.3,0,0
0.62,32.4,0,0
0.62,32.5,0,0
0.62,32.6,0,0
0.62,32.7,0,0
0.62,32.8,0,0
0.62,32.9,0,0
0.62,33,0,0
0.62,33.1,0,0
0.62,33.2,0,0
0.62,33.3,0,0
0.62,33.4,0,0
0.62,33.5,0,0
0.62,33.6,0,0
0.62,33.7,0,0
0.62,33.8,0,0
0.62,33.9,0,0
0.62,34,0,0
0.62,34.1,0,0
0.62,34.2,0,0
0.62,34.3,0,0
0.62,34.4,0,0
0.62,34.5,0,0
0.62,34.6,0,0
0.62,34.7,0,0
0.62,34.8,0,0
0.62,34.9,0,0
0.62,35,0,0
0.62,35.1,0,0
0.62,35.2,0,0
0.62,35.3,0,0
0.62,35.4,0,0
0.62,35.5,0,0
0.62,35.6,0,0
0.62,35.7,0,0
0.62,35.8,0,0
0.62,35.9,0,0
0.62,36,0,0
0.62,36.1,0,0
0.62,36.2,0,0
0.62,36.3,0,0
0.62,36.4,0,0
0.62,36.5,0,0
0.62,36.6,0,0
0.62,36.7,0,0
0.62,36.8,0,0
0.62,36.9,0,0
0.62,37,0,0
0.62,37.1,0,0
0.62,37.2,0,0
0.62,37.3,0,0
0.62,37.4,0,0
0.62,37.5,0,0
0.62,37.6,0,0
0.62,37.7,0,0
0.62,37.8,0,0
0.62,37.9,0,0
0.62,38,0,0
0.62,38.1,0,0
0.62,38.2,0,0
0.62,38.3,0,0
0.62,38.4,0,0
0.62,38.5,0,0
0.62,38.6,0,0
0.62,38.7,0,0
0.62,38.8,0,0
0.62,38.9,0,0
0.62,39,0,0
0.62,39.1,0,0
0.62,39.2,0,0
0.62,39.3,0,0
0.62,39.4,0,0
0.62,39.5,0,0
0.62,39.6,0,0
0.62,39.7,0,0
0.62,39.8,0,0
0.62,39.9,0,0
0.62,40,0,0
0.62,40.1,0,0
0.62,40.2,0,0
0.62,40.3,0,0
0.62,40.4,0,0
0.62,40.5,0,0
0.62,40.6,0,0
0.62,40.7,0,0
0.62,40.8,0,0
0.62,40.9,0,0
0.62,41,0,0
0.62,41.1,0,0
0.62,41.2,0,0
0.62,41.3,0,0
0.62,41.4,0,0
0.62,41.5,0,0
0.62,41.6,0,0
0.62,41.7,0,0
0.62,41.8,0,0
0.62,41.9,0,0
0.62,42,0,0
0.62,42.1,0,0
0.62,42.2,0,0
0.62,42.3,0,0
0.62,42.4,0,0
0.62,42.5,0,0
0.62,42.6,0,0
0.62,42.7,0,0
0.62,42.8,0,0
0.62,42.9,0,0
0.62,43,0,0
0.62,43.1,0,0
0.62,43.2,0,0
0.62,43.3,0,0
0.62,43.4,0,0
0.62,43.5,0,0
0.62,43.6,0,0
0.62,43.7,0,0
0.62,43.8,0,0
0.62,43.9,0,0
0.62,44,0,0
0.62,44.1,0,0
0.62,44.2,0,0
0.62,44.3,0,0
0.62,44.4,0,0
0.62,44.5,0,0
0.62,44.6,0,0
0.62,44.7,0,0
0.62,44.8,0,0
0.62,44.9,0,0
0.62,45,0,0
0.62,45.1,0,0
0.62,45.2,0,0
0.62,45.3,0,0
0.62,45.4,0,0
0.62,45.5,0,0
0.62,45.6,0,0
0.62,45.7,0,0
0.62,45.8,0,0
0.62,45.9,0,0
0.62,46,0,0
0.62,46.1,0,0
0.62,46.2,0,0
0.62,46.3,0,0
0.62,46.4,0,0
0.62,46.5,0,0
0.62,46.6,0,0
0.62,46.7,0,0
0.62,46.8,0,0
0.62,46.9,0,0
0.62,47,0,0
0.62,47.1,0,0
0.62,47.2,0,0
0.62,47.3,0,0
0.62,47.4,0,0
0.62,47.5,0,0
0.62,47.6,0,0
0.62,47.7,0,0
0.62,47.8,0,0
0.62,47.9,0,0
0.62,48,0,0
0.62,48.1,0,0
0.62,48.2,0,0
0.62,48.3,0,0
0.62,48.4,0,0
0.62,48.5,0,0
0.62,48.6,0,0
0.62,48.7,0,0
0.62,48.8,0,0
0.62,48.9,0,0
0.62,49,0,0
0.62,49.1,0,0
0.62,49.2,0,0
0.62,49.3,0,0
0.62,49.4,0,0
0.62,49.5,0,0
0.62,49.6,0,0
0.62,49.7,0,0
0.62,49.8,0,0
0.62,49.9,0,0
0.62,50,0,0
0.62,50.1,0,0
0.62,50.2,0,0
0.62,50.3,0,0
0.62,50.4,0,0
0.62,50.5,0,0
0.62,50.6,0,0
0.62,50.7,0,0
0.62,50.8,0,0
0.62,50.9,0,0
0.62,51,0,0
0.62,51.1,0,0
0.62,51.2,0,0
0.62,51.3,0,0
0.62,51.4,0,0
0.62,51.5,0,0
0.62,51.6,0,0
0.62,51.7,0,0
0.62,51.8,0,0
0.62,51.9,0,0
0.62,52,0,0
0.62,52.1,0,0
0.62,52.2,0,0
0.62,52.3,0,0
0.62,52.4,0,0
0.62,52.5,0,0
0.62,52.6,0,0
0.62,52.7,0,0
0.62,52.8,0,0
0.62,52.9,0,0
0.62,53,0,0
0.62,53.1,0,0
0.62,53.2,0,0
0.62,53.3,0,0
0.62,53.4,0,0
0.62,53.5,0,0
0.62,53.6,0,0
0.62,53.7,0,0
0.62,53.8,0,0
0.62,53.9,0,0
0.62,54,0,0
0.62,54.1,0,0
0.62,54.2,0,0
0.62,54.3,0,0
0.62,54.4,0,0
0.62,54.5,0,0
0.62,54.6,0,0
0.62,54.7,0,0
0.62,54.8,0,0
0.62,54.9,0,0
0.62,55,0,0
0.62,55.1,0,0
0.62,55.2,0,0
0.62,55.3,0,0
0.62,55.4,0,0
0.62,55.5,0,0
0.62,55.6,0,0
0.62,55.7,0,0
0.62,55.8,0,0
0.62,55.9,0,0
0.62,56,0,0
0.62,56.1,0,0
0.62,56.2,0,0
0.62,56.3,0,0
0.62,56.4,0,0
0.62,56.5,0,0
0.62,56.6,0,0
0.62,56.7,0,0
0.62,56.8,0,0
0.62,56.9,0,0
0.62,57,0,0
0.62,57.1,0,0
0.62,57.2,0,0
0.62,57.3,0,0
0.62,57.4,0,0
0.62,57.5,0,0
0.62,57.6,0,0
0.62,57.7,0,0
0.62,57.8,0,0
0.62,57.9,0,0
0.62,58,0,0
0.62,58.1,0,0
0.62,58.2,0,0
0.62,58.3,0,0
0.62,58.4,0,0
0.62,58.5,0,0
0.62,58.6,0,0
0.62,58.7,0,0
0.62,58.8,0,0
0.62,58.9,0,0
0.62,59,0,0
0.62,59.1,0,0
0.62,59.2,0,0
0.62,59.3,0,0
0.62,59.4,0,0
0.62,59.5,0,0
0.62,59.6,0,0
0.62,59.7,0,0
0.62,59.8,0,0
0.62,59.9,0,0
0.62,60,0,0
0.62,60.1,33,0.182320442
0.62,60.2,33,0.182320442
0.62,60.3,33,0.182320442
0.62,60.4,33,0.182320442
0.62,60.5,33,0.182320442
0.62,60.6,33,0.182320442
0.62,60.7,33,0.182320442
0.62,60.8,33,0.182320442
0.62,60.9,33,0.182320442
0.62,61,33,0.182320442
0.62,61.1,33,0.182320442
0.62,61.2,33,0.182320442
0.62,61.3,33,0.182320442
0.62,61.4,32,0.17679558
0.62,61.5,32,0.17679558
0.62,61.6,32,0.17679558
0.62,61.7,32,0.17679558
0.62,61.8,32,0.17679558
0.62,61.9,32,0.17679558
0.62,62,32,0.17679558
0.62,62.1,32,0.17679558
0.62,62.2,31,0.171270718
0.62,62.3,31,0.171270718
0.62,62.4,31,0.171270718
0.62,62.5,31,0.171270718
0.62,62.6,31,0.171270718
0.62,62.7,31,0.171270718
0.62,62.8,31,0.171270718
0.62,62.9,31,0.171270718
0.62,63,31,0.171270718
0.62,63.1,31,0.171270718
0.62,63.2,30,0.165745856
0.62,63.3,30,0.165745856
0.62,63.4,30,0.165745856
0.62,63.5,30,0.165745856
0.62,63.6,30,0.165745856
0.62,63.7,30,0.165745856
0.62,63.8,30,0.165745856
0.62,63.9,30,0.165745856
0.62,64,30,0.165745856
0.62,64.1,30,0.165745856
0.62,64.2,29,0.160220994
0.62,64.3,29,0.160220994
0.62,64.4,29,0.160220994
0.62,64.5,29,0.160220994
0.62,64.6,29,0.160220994
0.62,64.7,29,0.160220994
0.62,64.8,29,0.160220994
0.62,64.9,29,0.160220994
0.62,65,29,0.160220994
0.62,65.1,28,0.154696133
0.62,65.2,29,0.160220994
0.62,65.3,28,0.154696133
0.62,65.4,28,0.154696133
0.62,65.5,28,0.154696133
0.62,65.6,28,0.154696133
0.62,65.7,28,0.154696133
0.62,65.8,28,0.154696133
0.62,65.9,28,0.154696133
0.62,66,28,0.154696133
0.62,66.1,28,0.154696133
0.62,66.2,28,0.154696133
0.62,66.3,27,0.149171271
0.62,66.4,27,0.149171271
0.62,66.5,27,0.149171271
0.62,66.6,27,0.149171271
0.62,66.7,27,0.149171271
0.62,66.8,27,0.149171271
0.62,66.9,27,0.149171271
0.62,67,27,0.149171271
0.62,67.1,26,0.143646409
0.62,67.2,26,0.143646409
0.62,67.3,26,0.143646409
0.62,67.4,26,0.143646409
0.62,67.5,26,0.143646409
0.62,67.6,26,0.143646409
0.62,67.7,26,0.143646409
0.62,67.8,26,0.143646409
0.62,67.9,25,0.138121547
0.62,68,25,0.138121547
0.62,68.1,25,0.138121547
0.62,68.2,25,0.138121547
0.62,68.3,25,0.138121547
0.62,68.4,25,0.138121547
0.62,68.5,25,0.138121547
0.62,68.6,25,0.138121547
0.62,68.7,25,0.138121547
0.62,68.8,25,0.138121547
0.62,68.9,25,0.138121547
0.62,69,25,0.138121547
0.62,69.1,25,0.138121547
0.62,69.2,24,0.132596685
0.62,69.3,24,0.132596685
0.62,69.4,25,0.138121547
0.62,69.5,24,0.132596685
0.62,69.6,24,0.132596685
0.62,69.7,23,0.127071823
0.62,69.8,23,0.127071823
0.62,69.9,23,0.127071823
0.62,70,23,0.127071823
0.62,70.1,22,0.121546961
0.62,70.2,22,0.121546961
0.62,70.3,22,0.121546961
0.62,70.4,22,0.121546961
0.62,70.5,22,0.121546961
0.62,70.6,22,0.121546961
0.62,70.7,22,0.121546961
0.62,70.8,22,0.121546961
0.62,70.9,22,0.121546961
0.62,71,22,0.121546961
0.62,71.1,21,0.116022099
0.62,71.2,21,0.116022099
0.62,71.3,21,0.116022099
0.62,71.4,21,0.116022099
0.62,71.5,21,0.116022099
0.62,71.6,21,0.116022099
0.62,71.7,21,0.116022099
0.62,71.8,21,0.116022099
0.62,71.9,21,0.116022099
0.62,72,21,0.116022099
0.62,72.1,21,0.116022099
0.62,72.2,20,0.110497238
0.62,72.3,20,0.110497238
0.62,72.4,20,0.110497238
0.62,72.5,20,0.110497238
0.62,72.6,20,0.110497238
0.62,72.7,20,0.110497238
0.62,72.8,20,0.110497238
0.62,72.9,20,0.110497238
0.62,73,20,0.110497238
0.62,73.1,20,0.110497238
0.62,73.2,19,0.104972376
0.62,73.3,19,0.104972376
0.62,73.4,19,0.104972376
0.62,73.5,19,0.104972376
0.62,73.6,19,0.104972376
0.62,73.7,19,0.104972376
0.62,73.8,19,0.104972376
0.62,73.9,19,0.104972376
0.62,74,19,0.104972376
0.62,74.1,18,0.099447514
0.62,74.2,18,0.099447514
0.62,74.3,18,0.099447514
0.62,74.4,18,0.099447514
0.62,74.5,18,0.099447514
0.62,74.6,18,0.099447514
0.62,74.7,18,0.099447514
0.62,74.8,18,0.099447514
0.62,74.9,18,0.099447514
0.62,75,18,0.099447514
0.62,75.1,18,0.099447514
0.62,75.2,18,0.099447514
0.62,75.3,17,0.093922652
0.62,75.4,18,0.099447514
0.62,75.5,17,0.093922652
0.62,75.6,17,0.093922652
0.62,75.7,17,0.093922652
0.62,75.8,17,0.093922652
0.62,75.9,17,0.093922652
0.62,76,17,0.093922652
0.62,76.1,17,0.093922652
0.62,76.2,16,0.08839779
0.62,76.3,16,0.08839779
0.62,76.4,16,0.08839779
0.62,76.5,16,0.08839779
0.62,76.6,16,0.08839779
0.62,76.7,16,0.08839779
0.62,76.8,16,0.08839779
0.62,76.9,16,0.08839779
0.62,77,16,0.08839779
0.62,77.1,15,0.082872928
0.62,77.2,14,0.077348066
0.62,77.3,15,0.082872928
0.62,77.4,15,0.082872928
0.62,77.5,15,0.082872928
0.62,77.6,14,0.077348066
0.62,77.7,14,0.077348066
0.62,77.8,15,0.082872928
0.62,77.9,15,0.082872928
0.62,78,15,0.082872928
0.62,78.1,15,0.082872928
0.62,78.2,14,0.077348066
0.62,78.3,14,0.077348066
0.62,78.4,14,0.077348066
0.62,78.5,14,0.077348066
0.62,78.6,14,0.077348066
0.62,78.7,14,0.077348066
0.62,78.8,14,0.077348066
0.62,78.9,14,0.077348066
0.62,79,14,0.077348066
0.62,79.1,14,0.077348066
0.62,79.2,14,0.077348066
0.62,79.3,13,0.071823204
0.62,79.4,13,0.071823204
0.62,79.5,13,0.071823204
0.62,79.6,13,0.071823204
0.62,79.7,13,0.071823204
0.62,79.8,13,0.071823204
0.62,79.9,13,0.071823204
0.62,80,12,0.066298343
0.62,80.1,13,0.071823204
0.62,80.2,13,0.071823204
0.62,80.3,11,0.060773481
0.62,80.4,12,0.066298343
0.62,80.5,12,0.066298343
0.62,80.6,12,0.066298343
0.62,80.7,12,0.066298343
0.62,80.8,11,0.060773481
0.62,80.9,12,0.066298343
0.62,81,9,0.049723757
0.62,81.1,11,0.060773481
0.62,81.2,11,0.060773481
0.62,81.3,9,0.049723757
0.62,81.4,11,0.060773481
0.62,81.5,11,0.060773481
0.62,81.6,11,0.060773481
0.62,81.7,11,0.060773481
0.62,81.8,11,0.060773481
0.62,81.9,11,0.060773481
0.62,82,10,0.055248619
0.62,82.1,11,0.060773481
0.62,82.2,9,0.049723757
0.62,82.3,10,0.055248619
0.62,82.4,10,0.055248619
0.62,82.5,10,0.055248619
0.62,82.6,10,0.055248619
0.62,82.7,10,0.055248619
0.62,82.8,8,0.044198895
0.62,82.9,9,0.049723757
0.62,83,9,0.049723757
0.62,83.1,8,0.044198895
0.62,83.2,9,0.049723757
0.62,83.3,8,0.044198895
0.62,83.4,8,0.044198895
0.62,83.5,9,0.049723757
0.62,83.6,9,0.049723757
0.62,83.7,9,0.049723757
0.62,83.8,8,0.044198895
0.62,83.9,8,0.044198895
0.62,84,8,0.044198895
0.62,84.1,8,0.044198895
0.62,84.2,7,0.038674033
0.62,84.3,8,0.044198895
0.62,84.4,8,0.044198895
0.62,84.5,8,0.044198895
0.62,84.6,8,0.044198895
0.62,84.7,7,0.038674033
0.62,84.8,8,0.044198895
0.62,84.9,7,0.038674033
0.62,85,7,0.038674033
0.62,85.1,7,0.038674033
0.62,85.2,6,0.033149171
0.62,85.3,7,0.038674033
0.62,85.4,7,0.038674033
0.62,85.5,7,0.038674033
0.62,85.6,6,0.033149171
0.62,85.7,6,0.033149171
0.62,85.8,6,0.033149171
0.62,85.9,6,0.033149171
0.62,86,6,0.033149171
0.62,86.1,6,0.033149171
0.62,86.2,6,0.033149171
0.62,86.3,6,0.033149171
0.62,86.4,5,0.027624309
0.62,86.5,6,0.033149171
0.62,86.6,6,0.033149171
0.62,86.7,5,0.027624309
0.62,86.8,5,0.027624309
0.62,86.9,5,0.027624309
0.62,87,5,0.027624309
0.62,87.1,5,0.027624309
0.62,87.2,5,0.027624309
0.62,87.3,5,0.027624309
0.62,87.4,5,0.027624309
0.62,87.5,5,0.027624309
0.62,87.6,4,0.022099448
0.62,87.7,4,0.022099448
0.62,87.8,4,0.022099448
0.62,87.9,4,0.022099448
0.62,88,4,0.022099448
0.62,88.1,4,0.022099448
0.62,88.2,4,0.022099448
0.62,88.3,4,0.022099448
0.62,88.4,4,0.022099448
0.62,88.5,3,0.016574586
0.62,88.6,4,0.022099448
0.62,88.7,3,0.016574586
0.62,88.8,3,0.016574586
0.62,88.9,3,0.016574586
0.62,89,3,0.016574586
0.62,89.1,3,0.016574586
0.62,89.2,3,0.016574586
0.62,89.3,2,0.011049724
0.62,89.4,2,0.011049724
0.62,89.5,2,0.011049724
0.62,89.6,2,0.011049724
0.62,89.7,2,0.011049724
0.62,89.8,2,0.011049724
0.62,89.9,2,0.011049724
0.62,90,2,0.011049724
0.62,90.1,0,0
0.62,90.2,0,0
0.62,90.3,0,0
0.62,90.4,0,0
0.62,90.5,0,0
0.62,90.6,0,0
0.62,90.7,0,0
0.62,90.8,0,0
0.62,90.9,0,0
0.62,91,0,0
0.62,91.1,0,0
0.62,91.2,0,0
0.62,91.3,0,0
0.62,91.4,0,0
0.62,91.5,0,0
0.62,91.6,0,0
0.62,91.7,0,0
0.62,91.8,0,0
0.62,91.9,0,0
0.62,92,0,0
0.62,92.1,0,0
0.62,92.2,0,0
0.62,92.3,0,0
0.62,92.4,0,0
0.62,92.5,0,0
0.62,92.6,0,0
0.62,92.7,0,0
0.62,92.8,0,0
0.62,92.9,0,0
0.62,93,0,0
0.62,93.1,0,0
0.62,93.2,0,0
0.62,93.3,0,0
0.62,93.4,0,0
0.62,93.5,0,0
0.62,93.6,0,0
0.62,93.7,0,0
0.62,93.8,0,0
0.62,93.9,0,0
0.62,94,0,0
0.62,94.1,0,0
0.62,94.2,0,0
0.62,94.3,0,0
0.62,94.4,0,0
0.62,94.5,0,0
0.62,94.6,0,0
0.62,94.7,0,0
0.62,94.8,0,0
0.62,94.9,0,0
0.62,95,0,0
0.62,95.1,0,0
0.62,95.2,0,0
0.62,95.3,0,0
0.62,95.4,0,0
0.62,95.5,0,0
0.62,95.6,0,0
0.62,95.7,0,0
0.62,95.8,0,0
0.62,95.9,0,0
0.62,96,0,0
0.62,96.1,0,0
0.62,96.2,0,0
0.62,96.3,0,0
0.62,96.4,0,0
0.62,96.5,0,0
0.62,96.6,0,0
0.62,96.7,0,0
0.62,96.8,0,0
0.62,96.9,0,0
0.62,97,0,0
0.62,97.1,0,0
0.62,97.2,0,0
0.62,97.3,0,0
0.62,97.4,0,0
0.62,97.5,0,0
0.62,97.6,0,0
0.62,97.7,0,0
0.62,97.8,0,0
0.62,97.9,0,0
0.62,98,0,0
0.62,98.1,0,0
0.62,98.2,0,0
0.62,98.3,0,0
0.62,98.4,0,0
0.62,98.5,0,0
0.62,98.6,0,0
0.62,98.7,0,0
0.62,98.8,0,0
0.62,98.9,0,0
0.62,99,0,0
0.62,99.1,0,0
0.62,99.2,0,0
0.62,99.3,0,0
0.62,99.4,0,0
0.62,99.5,0,0
0.62,99.6,0,0
0.62,99.7,0,0
0.62,99.8,0,0
0.62,99.9,0,0
0.62,100,0,0
0.62,100.1,0,0
0.62,100.2,0,0
0.62,100.3,0,0
0.62,100.4,0,0
0.62,100.5,0,0
0.62,100.6,0,0
0.62,100.7,0,0
0.62,100.8,0,0
0.62,100.9,0,0
0.62,101,0,0
0.62,101.1,0,0
0.62,101.2,0,0
0.62,101.3,0,0
0.62,101.4,0,0
0.62,101.5,0,0
0.62,101.6,0,0
0.62,101.7,0,0
0.62,101.8,0,0
0.62,101.9,0,0
0.62,102,0,0
0.62,102.1,0,0
0.62,102.2,0,0
0.62,102.3,0,0
0.62,102.4,0,0
0.62,102.5,0,0
0.62,102.6,0,0
0.62,102.7,0,0
0.62,102.8,0,0
0.62,102.9,0,0
0.62,103,0,0
0.62,103.1,0,0
0.62,103.2,0,0
0.62,103.3,0,0
0.62,103.4,0,0
0.62,103.5,0,0
0.62,103.6,0,0
0.62,103.7,0,0
0.62,103.8,0,0
0.62,103.9,0,0
0.62,104,0,0
0.62,104.1,0,0
0.62,104.2,0,0
0.62,104.3,0,0
0.62,104.4,0,0
0.62,104.5,0,0
0.62,104.6,0,0
0.62,104.7,0,0
0.62,104.8,0,0
0.62,104.9,0,0
0.62,105,0,0
0.62,105.1,0,0
0.62,105.2,0,0
0.62,105.3,0,0
0.62,105.4,0,0
0.62,105.5,0,0
0.62,105.6,0,0
0.62,105.7,0,0
0.62,105.8,0,0
0.62,105.9,0,0
0.62,106,0,0
0.62,106.1,0,0
0.62,106.2,0,0
0.62,106.3,0,0
0.62,106.4,0,0
0.62,106.5,0,0
0.62,106.6,0,0
0.62,106.7,0,0
0.62,106.8,0,0
0.62,106.9,0,0
0.62,107,0,0
0.62,107.1,0,0
0.62,107.2,0,0
0.62,107.3,0,0
0.62,107.4,0,0
0.62,107.5,0,0
0.62,107.6,0,0
0.62,107.7,0,0
0.62,107.8,0,0
0.62,107.9,0,0
0.62,108,0,0
0.62,108.1,0,0
0.62,108.2,0,0
